Taxon	H18676	1417.16	H19192	602.16	H18266	H18112	H19465A	1153.13	H19457A	1303.15	H657.17	H19259	1331.14	H19521A	H18788A	H192472A	1553.15	H19485A	H18398	950.13	H18910	1066.13	H18442	1069.14	H19142	H15.17	H617.17	H18362	888.16	1637.15	H19497A	H18128	1388.15	725.16	H18421	H18696	1134.15	H18388	1624.12	1093.13	H18786A	H13.17	250.16	H420.17	H18816	H658.17	H456.17	1097.16	H18199	H18122	1017.16	H17666A	H17432A	H694.17	H18689A	505.16	H19368	945.13	1045.16	H18828	125.13	172.14	100.16	783.16	H321.17	H18183	1095.16	H1866.18	H19261	H19556A	H18223	H18433	1948.15	856.16	727.16	H470.17	1714.14	H18108	H18598	H315.17	H1892.18	H18335	1659.14	788.16	H18.38	H19238	1529.16	421.13
Bacteria;Deinococcus-Thermus;Deinococci	0.0	152.0	0.0	102.0	0.0	0.0	95.0	0.0	350.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	2.0	59.0	0.0	1.0	2.0	0.0	4.0	67.0	1163.0	67.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	129.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	64.0	275.0	0.0	0.0	31.0	0.0	105.0	0.0	13.0	0.0	0.0	3.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	122.0	13.0	0.0	13.0	1092.0	140.0	0.0	0.0	0.0	0.0	0.0	233.0	0.0	1956.0	110.0	0.0	591.0	0.0	0.0	0.0	317.0
Bacteria;Elusimicrobia;Elusimicrobia	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Bacilli	712.0	1610.0	1248.0	1936.0	680.0	754.0	89.0	1697.0	2274.0	1718.0	336.0	1274.0	1116.0	1942.0	1080.0	2557.0	757.0	334.0	1001.0	1262.0	386.0	1591.0	689.0	1826.0	477.0	6653.0	743.0	1281.0	1418.0	812.0	3236.0	1333.0	2403.0	3629.0	1099.0	1149.0	1118.0	814.0	2187.0	1297.0	4628.0	655.0	676.0	1058.0	542.0	512.0	1189.0	1920.0	389.0	957.0	2170.0	1990.0	1832.0	1246.0	2987.0	1073.0	1592.0	1761.0	738.0	1153.0	1070.0	209.0	1649.0	2552.0	233.0	528.0	1254.0	732.0	1463.0	966.0	1260.0	1125.0	2929.0	1574.0	604.0	1110.0	773.0	1314.0	304.0	346.0	340.0	2435.0	406.0	1471.0	3103.0	417.0	7037.0	873.0
Bacteria;Firmicutes;Clostridia	7166.0	22217.0	27464.0	27395.0	29160.0	3482.0	6820.0	16515.0	7214.0	11733.0	2652.0	54074.0	6485.0	23257.0	6696.0	10444.0	35871.0	15963.0	32158.0	14565.0	17706.0	4886.0	13921.0	22297.0	15246.0	4817.0	8574.0	22618.0	5847.0	27638.0	20220.0	8310.0	25913.0	15828.0	42006.0	10778.0	23107.0	14186.0	17665.0	14477.0	6059.0	12213.0	37134.0	13160.0	8644.0	3969.0	14710.0	15805.0	41285.0	21104.0	30819.0	10749.0	2747.0	10091.0	17246.0	33696.0	35358.0	26125.0	31709.0	19153.0	11348.0	3134.0	10615.0	21707.0	6010.0	3552.0	34486.0	5836.0	34660.0	22365.0	35199.0	11921.0	17306.0	22417.0	2558.0	13759.0	17819.0	6027.0	20146.0	4668.0	16524.0	14265.0	39161.0	25159.0	3798.0	6406.0	23909.0	8358.0
Bacteria;Firmicutes;Erysipelotrichia	363.0	1080.0	1140.0	653.0	1682.0	398.0	477.0	924.0	277.0	325.0	77.0	1740.0	365.0	426.0	138.0	1.0	1732.0	765.0	1633.0	1250.0	537.0	84.0	618.0	1044.0	677.0	619.0	49.0	457.0	450.0	897.0	1326.0	167.0	1507.0	1583.0	365.0	601.0	1133.0	775.0	729.0	380.0	302.0	788.0	1225.0	812.0	1270.0	299.0	422.0	806.0	1005.0	738.0	975.0	233.0	202.0	359.0	87.0	1192.0	992.0	736.0	1305.0	579.0	813.0	189.0	466.0	807.0	267.0	170.0	1254.0	202.0	932.0	977.0	357.0	677.0	790.0	763.0	223.0	757.0	718.0	63.0	676.0	840.0	371.0	376.0	2440.0	1723.0	21.0	751.0	1081.0	699.0
Bacteria;Firmicutes;Negativicutes	8646.0	2486.0	6980.0	1986.0	1350.0	3346.0	2209.0	5098.0	1283.0	6201.0	903.0	2504.0	978.0	3771.0	931.0	515.0	1487.0	3281.0	3806.0	5397.0	710.0	18428.0	5546.0	7330.0	4981.0	1440.0	1168.0	2251.0	10503.0	1413.0	4221.0	3694.0	2529.0	7069.0	2605.0	3790.0	1895.0	3686.0	6786.0	1093.0	9619.0	4418.0	2406.0	2436.0	796.0	1924.0	4097.0	2665.0	2774.0	4636.0	3766.0	3896.0	3119.0	3851.0	2817.0	2274.0	3726.0	4554.0	2008.0	1413.0	4761.0	53486.0	4531.0	5674.0	6664.0	1002.0	1810.0	914.0	4464.0	2361.0	3290.0	1063.0	4364.0	10169.0	38715.0	820.0	6303.0	1489.0	777.0	32085.0	5090.0	3557.0	2241.0	6498.0	6045.0	2704.0	2825.0	8349.0
Bacteria;Firmicutes;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	146.0	0.0	2.0	140.0	3.0	432.0	0.0	0.0	3.0	3.0	151.0	0.0	40.0	0.0	143.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	277.0	80.0	0.0	0.0	696.0	453.0	0.0	194.0	0.0	0.0	242.0	2.0	0.0	83.0	126.0	1.0	0.0	0.0	0.0	0.0	0.0	291.0	0.0	12.0	356.0	0.0	97.0	0.0	2.0	1.0	2.0	0.0	2.0	0.0	1.0	98.0	167.0	186.0	0.0	209.0	298.0	61.0	0.0	71.0	14.0	0.0	0.0	1.0	64.0	0.0	88.0	0.0	0.0	55.0	0.0
Bacteria;Fusobacteria;Fusobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	42.0	19.0	6.0	24.0	0.0	19.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	20.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	593.0	0.0	0.0	2.0	0.0	32.0	0.0	2.0	0.0	0.0	530.0	1.0	0.0	6.0	310.0	0.0	17.0	26.0	0.0	12.0	4.0	3.0	0.0	1.0	0.0	94.0	0.0	0.0	0.0	33.0	0.0	1.0	5.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	14.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Gemmatimonadetes;Gemmatimonadetes	123.0	0.0	1.0	0.0	0.0	0.0	226.0	158.0	490.0	50.0	0.0	4.0	643.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	17.0	181.0	0.0	6.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	117.0	0.0	711.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	47.0	94.0	0.0	60.0	109.0	0.0	9.0	0.0	0.0	0.0	0.0	4.0	326.0	0.0	0.0	1.0	0.0	16.0	0.0	19.0	0.0	0.0	7.0	19.0	78.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	108.0	178.0	0.0	0.0	211.0	0.0
Bacteria;Nitrospirae;Nitrospira	0.0	0.0	0.0	0.0	0.0	0.0	289.0	0.0	2.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
